기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
멀티캠퍼스,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체",백엔드 개발자 부트캠프(스프링),23회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-02-26,2024-07-15,790,50,24,24,16,24.0,22,90.2,19,37.6
멀티캠퍼스,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체",백엔드 개발자 부트캠프(스프링),24회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-11,2024-07-26,790,50,21,21,6개월이 안 지났거나 해당 정보 없음,24.0,24,78,13,6개월이 안 지났거나 해당 정보 없음
멀티캠퍼스,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체",백엔드 개발자 부트캠프(스프링),25회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-08,2024-08-26,790,50,38,38,6개월이 안 지났거나 해당 정보 없음,24.0,21,89,26,6개월이 안 지났거나 해당 정보 없음
멀티캠퍼스,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체",백엔드 개발자 부트캠프(스프링),26회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-24,2024-11-12,790,50,17,17,6개월이 안 지났거나 해당 정보 없음,24.0,38,88.1,12,6개월이 안 지났거나 해당 정보 없음
멀티캠퍼스,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체",백엔드 개발자 부트캠프(스프링),27회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-29,2024-12-17,790,50,21,21,6개월이 안 지났거나 해당 정보 없음,24.0,17,71.4,20,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-15,2024-07-10,960,30,24,24,18,20.0,25,55.7,20,50.0
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-07,2024-08-29,960,30,20,20,6개월이 안 지났거나 해당 정보 없음,20.0,24,82.9,15,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-09,2025-03-17,960,30,16,16,6개월이 안 지났거나 해당 정보 없음,20.0,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
엠비씨(MBC)아카데미컴퓨터학원 천호점,(05335) 서울특별시 강동구 천호대로157길 14 나비빌딩 6층,기업프로젝트 기반 빅데이터를 활용한 풀스택(프론트-백엔드) 개발자 양성,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-15,2024-07-16,994,30,19,19,10,15.67,23,77.1,10,80.0
엠비씨(MBC)아카데미컴퓨터학원 천호점,(05335) 서울특별시 강동구 천호대로157길 14 나비빌딩 6층,기업프로젝트 기반 빅데이터를 활용한 풀스택(프론트-백엔드) 개발자 양성,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-22,2024-10-02,994,30,18,18,6개월이 안 지났거나 해당 정보 없음,15.67,19,72.9,10,6개월이 안 지났거나 해당 정보 없음
엠비씨(MBC)아카데미컴퓨터학원 천호점,(05335) 서울특별시 강동구 천호대로157길 14 나비빌딩 6층,기업프로젝트 기반 빅데이터를 활용한 풀스택(프론트-백엔드) 개발자 양성,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-19,2025-02-24,994,23,10,10,6개월이 안 지났거나 해당 정보 없음,15.67,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-16,2024-08-13,1120,24,24,24,6개월이 안 지났거나 해당 정보 없음,16.45,15,93.2,21,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-08,2024-11-11,1120,20,18,18,6개월이 안 지났거나 해당 정보 없음,16.45,24,84.9,18,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-11,2024-11-11,1120,22,15,15,6개월이 안 지났거나 해당 정보 없음,16.45,18,100,14,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,14회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-08,2025-03-13,1120,24,24,24,6개월이 안 지났거나 해당 정보 없음,16.45,15,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,15회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-13,2025-03-19,1120,30,29,29,6개월이 안 지났거나 해당 정보 없음,16.45,24,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,18회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-23,2025-04-23,1120,24,19,19,6개월이 안 지났거나 해당 정보 없음,16.45,29,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,19회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-09,2025-07-04,1120,30,1,0,6개월이 안 지났거나 해당 정보 없음,16.45,19,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
쌍용강북교육센터,"(04001) 서울특별시 마포구 월드컵북로 21 (서교동) 풍성빌딩 2,3,4층",AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,20회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-11-18,2025-06-17,1120,22,0,0,6개월이 안 지났거나 해당 정보 없음,16.45,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
