기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
네이버클라우드주식회사,[네이버클라우드] 클라우드 기반의 AIaaS 개발자 과정,3,30,29,29,23,28.67,28,65.2,79.1,23,2022-12-30,2023-07-03,응용SW엔지니어링(20010202),K-디지털 트레이닝,1004,"(13561) 경기도 성남시 분당구 불정로 6(정자동, 네이버 그린팩토리) ."
더조은컴퓨터아카데미학원,클라우드 CI/CD활용 자바웹&앱(코틀린&도커) 개발자 양성,1,20,11,11,9,5.5,해당 정보 없음,55.5,86,10,2022-11-14,2023-05-26,응용SW엔지니어링(20010202),K-디지털 트레이닝,1080,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동)
더조은컴퓨터아카데미학원,클라우드 CI/CD활용 자바웹&앱(코틀린&도커) 개발자 양성,2,20,0,0,해당 정보 없음,5.5,11,해당 정보 없음,0,0,2022-12-29,2023-07-12,응용SW엔지니어링(20010202),K-디지털 트레이닝,1080,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동)
팀스파르타주식회사,실무형 Nodejs 백엔드 엔지니어 양성과정,1,100,100,100,81,100.0,해당 정보 없음,45.6,66.4,87,2022-11-14,2023-03-29,응용SW엔지니어링(20010202),K-디지털 트레이닝,1136,(06210) 서울특별시 강남구 테헤란로44길 8 (역삼동) 12층
이젠아카데미DX교육센터,"클라우드기반 백엔드 풀스택 웹서비스 개발(AWS, 큐레이팅)",1,30,30,30,22,30.0,해당 정보 없음,63.6,80,26,2022-11-15,2023-05-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,860,"(06612) 서울특별시 서초구 서초동 서초대로77길 41(대동Ⅱ) 대동빌딩 5층, 9층, 10층"
플레이데이터평생교육원,AI프로젝트 글로벌표준 기반의 풀스택 딥러닝 활용SW 개발자 양성과정,1,30,16,16,10,16.0,해당 정보 없음,30.0,75,12,2022-11-21,2023-05-17,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부
방송정보국제교육원,메타버스 콘텐츠 제너럴리스트 양성 과정,1,20,12,12,11,12.0,해당 정보 없음,81.8,66,10,2022-11-23,2023-05-22,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층"
유비온디지털교육센터,빅데이터를 활용한 디지털마케팅 전문가 과정,1,30,26,26,20,26.0,해당 정보 없음,50.0,97.3,22,2022-11-24,2023-05-19,빅데이터분석(20010105),K-디지털 트레이닝,974,(08391) 서울특별시 구로구 디지털로32나길 22 5층 유비온디지털교육센터
에스엘아카데미학원,클라우드 기반 지능형 웹사이트 개발자 양성과정,1,20,0,0,해당 정보 없음,0.0,해당 정보 없음,해당 정보 없음,0,0,2022-11-24,2023-05-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,968,(08589) 서울특별시 금천구 디지털로 130 (가산동 남성프라자) 1007호
(주)엘리스그룹,엘리스 IoT 사물인터넷 엔지니어 트랙,1,50,32,32,20,32.0,해당 정보 없음,55.0,88.4,19,2022-11-28,2023-05-19,IoT시스템연동(20010212),K-디지털 트레이닝,840,(06212) 서울특별시 강남구 선릉로 433 6층 신관
한국소프트웨어산업협회,Azure기반 DS 실무 개발자 양성 과정,2,20,12,12,10,12.0,10,60.0,66,10,2022-11-28,2023-05-23,빅데이터운영·관리(20010304),K-디지털 트레이닝,960,(05717) 서울특별시 송파구 중대로 135 아이티벤처타워 서관 12층 한국소프트웨어산업협회
케이지에듀원 아이티뱅크종로학원,하이브리드 및 멀티클라우드 아키텍트 양성 과정,1,25,19,19,15,19.0,해당 정보 없음,73.4,85.3,15,2022-11-28,2023-04-25,IT시스템관리(20010301),K-디지털 트레이닝,800,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층
더조은컴퓨터아카데미 종로,기계설계와 스마트팩토리 MES 개발자 양성_by 카티아/자바/파이썬/IOT 활용,1,20,5,5,4,5.0,해당 정보 없음,50.0,93.3,3,2022-11-28,2023-06-15,시스템SW엔지니어링(20010208),K-디지털 트레이닝,1060,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
한국ICT인재개발원,데이터처리 기반 자바 풀스택 개발자 과정,1,30,30,30,22,30.0,해당 정보 없음,90.9,99.1,22,2022-11-29,2023-05-25,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(04108) 서울특별시 마포구 백범로 23 (신수동 거구장) 3층일부, B1 7호(상담실,휴게실),9호(4강의실,5강의실)"
한국품질재단 평생교육시설,산업맞춤형 스마트팩토리 전문가 양성과정,1,25,23,23,16,11.5,해당 정보 없음,75.0,98.8,17,2022-06-28,2022-12-17,SW제품기획(20010104),K-디지털 트레이닝,960,"(05606) 서울특별시 송파구 삼전로 78(삼전동, Q 타워) 2층, 3층, 4층"
한국품질재단 평생교육시설,산업맞춤형 스마트팩토리 전문가 양성과정,2,25,0,0,해당 정보 없음,11.5,23,해당 정보 없음,0,0,2022-11-29,2023-05-22,SW제품기획(20010104),K-디지털 트레이닝,960,"(05606) 서울특별시 송파구 삼전로 78(삼전동, Q 타워) 2층, 3층, 4층"
(사)한국무역협회무역아카데미,KITA 디지털 마스터 (무역 빅데이터 과정),1,30,29,29,22,29.0,해당 정보 없음,59.0,84.1,29,2022-12-06,2023-07-19,빅데이터분석(20010105),K-디지털 트레이닝,1042,"(06164) 서울특별시 강남구 영동대로 511 (삼성동 트레이드타워) 삼성동, 무역회관4703호"
넥스트러너스평생교육시설,린스타트업 맞춤형 Serverless MVP 개발 전문가 양성 과정,1,40,30,30,20,30.0,해당 정보 없음,65.0,85.6,25,2022-12-06,2023-05-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,840,(06527) 서울특별시 서초구 강남대로99길 45 6층
한경닷컴IT교육센터,"자바 웹개발&파이썬, AI활용 과정",1,20,6,6,2,6.0,해당 정보 없음,50.0,100,2,2022-12-08,2023-06-14,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,(07271) 서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터) 4층 일부
한국소프트웨어인재개발원,빅데이터 분석 서비스 구현을 위한 JAVA/Python 풀스택 전문가 양성 과정,1,25,21,21,17,21.0,해당 정보 없음,88.2,81.2,17,2022-12-12,2023-06-02,빅데이터분석(20010105),K-디지털 트레이닝,960,"(08505) 서울특별시 금천구 가산디지털2로 101 (가산동) 한라원앤원타워 B동 304호, 305호, 306호, 307호, 308호, 309호"
더조은컴퓨터아카데미학원,기업프로젝트 기반 빅데이터 분석 AI 융합전문가 양성(머신러닝&딥러닝),1,20,12,12,6,12.0,해당 정보 없음,66.7,91.4,7,2022-12-12,2023-07-17,빅데이터분석(20010105),K-디지털 트레이닝,1200,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동)
인포섹 아카데미,클라우드 AI 융합전문가 양성과정,2,24,23,23,19,23.0,24,78.9,81.9,21,2022-12-16,2023-06-14,보안엔지니어링(20010206),K-디지털 트레이닝,960,(13486) 경기도 성남시 분당구 판교로227번길 23 (삼평동 판교R&D센터) 4층 SK인포섹
