기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-27,2024-12-27,960,25,21,21,16.0,18,63.9,(19 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-23,2025-03-27,960,25,14,14,16.0,21,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-27,2025-08-27,960,25,0,0,16.0,14,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,1회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2023-06-07,2023-12-08,968,25,17,17,15.11,해당 정보 없음,91.4,(15 명),56.3,16
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,2회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2023-08-31,2024-02-29,968,25,24,24,15.11,17,63.9,(19 명),58.8,17
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,3회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-01-31,2024-08-02,968,25,22,22,15.11,24,78.1,(15 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,4회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-03-11,2024-09-06,968,25,20,20,15.11,22,46.9,(14 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,5회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-08-05,2025-02-13,968,22,20,20,15.11,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,6회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-09-23,2025-03-27,968,22,15,15,15.11,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,7회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-12-16,2025-06-20,968,22,19,18,15.11,15,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,8회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2025-03-10,2025-09-08,968,22,2,0,15.11,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,9회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2025-04-21,2025-10-27,968,22,0,0,15.11,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",AI 서비스 개발을 위한 클라우드 활용 실무 과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-03-11,2025-09-15,1044,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
